threads,samples,speedup,stdev
1,10,0.911184792219275,0.009822700011230872
2,10,1.106294281829242,0.03610438774425802
3,10,1.4331772668273688,0.10209468806495346
4,10,1.6138908464489858,0.04110419370401528
5,10,1.864686369119421,0.04220262389301577
6,10,1.935759567973703,0.09170913503578008
7,10,2.1519106285237,0.06886410526834545
8,10,2.3978826129951716,0.0636411750273603
9,10,2.4831532870165858,0.137824730022089
10,10,2.5021953341561622,0.12791057031699163
11,10,2.4953791517010373,0.1955532641716479
12,10,2.679885580548693,0.17317378190476285
13,10,2.7206846482157787,0.18189030430771497
14,10,2.671952984897263,0.2269044243605097
15,10,2.987967526819368,0.16888310377992613
16,10,2.8433541029590965,0.2958079250946053
17,10,2.796102016821923,0.271005394262409
18,10,2.7158449544306578,0.17961053848483413
19,10,2.744717684659091,0.21673758412847782
20,10,2.758123870910186,0.2286981250286059
21,10,2.6709719222462205,0.2424663000430276
22,10,2.774086453262747,0.2098101646112312
23,10,2.8827245390335436,0.1835874071912133
24,10,2.8061266167460857,0.20057201792659163
25,10,2.803836212760169,0.24539683799753823
26,10,2.750639471518495,0.27677892843283697
27,10,2.844465912227436,0.24540823780964535
28,10,2.731139575971731,0.20835496490238192
29,10,2.8502350880427767,0.2464599525864645
30,10,2.781949474726115,0.21872192488935038
31,10,2.735852395911685,0.2718095268726694
32,10,2.6790147527133295,0.2013145574039117
