     HA   CA   H   N   C   CB
       
N i-1 0.056551187312409025 -0.37076772924614215 00.000000000 00.000000000 0.14753582154786798 -0.3179895825064077
CA i-1 00.000000000 0.7849884943537252 00.000000000 00.000000000 0.0839660626457045 -1.2789156656096188
HA i-1 0.010405347620700861 -2.1042810463990067 00.000000000 00.000000000 -0.29033142055557903 0.21067795100433087
C i-1 00.000000000 1.7901370460550294 00.000000000 00.000000000 00.000000000 -0.689924890381427
O i-1 -0.1999276659494107 -0.8342634837927808 00.000000000 00.000000000 -0.044535788991920476 1.219829565530388
N i 00.000000000 00.000000000 00.000000000 00.000000000 00.000000000 1.925255901987121
H i 00.000000000 00.000000000 00.000000000 00.000000000 00.000000000 00.000000000
CA i 00.000000000 -1.6758106828227365e-10 00.000000000 00.000000000 00.000000000 00.000000000
HA i -3.908644602348174e-12 7.7021126567059675 00.000000000 00.000000000 00.000000000 1.4817680728853784
C i 00.000000000 2.0268121546798685 00.000000000 00.000000000 1.994490485912032e-12 -4.493382590513716
O i 0.04055812704086583 8.322577238555402 00.000000000 00.000000000 00.000000000 0.9295233451701236
N i+1 00.000000000 4.140659674102666 00.000000000 00.000000000 00.000000000 0.4222371795900152
H i+1 0.15660436553886886 1.2545240207094444 00.000000000 00.000000000 00.000000000 1.2997612663438198
CA i+1 0.016914635853666368 0.8386452837522653 00.000000000 00.000000000 -0.9969342173327255 -2.228167429024003
HA i+1 0.03495246557331934 0.05807060956512937 00.000000000 00.000000000 -0.15251126417783628 0.13427803749012518
C i+1 0.11375675166603745 0.5391120463382052 00.000000000 00.000000000 -0.7975780117985259 0.0874792691235813
