     HA   CA   H   N   C   CB
       
N i-1 0.13134097267479058 -0.6063023611836194 -0.4809829106106465 -0.976844373024666 0.06360608229730115 -0.3707395756804625
CA i-1 00.000000000 -0.382775121723376 0.7645567825229481 00.000000000 -0.7214393313602738 0.2682711374613596
HA i-1 0.12764024531197454 -2.3749362169721078 -1.3739098906972549 -3.371890766063692 -0.26873261861090814 0.39082063727845623
C i-1 00.000000000 5.792699117803468 00.000000000 11.250198534897793 00.000000000 -1.347399130922757
O i-1 -0.38323625253798144 -1.003443037744127 00.000000000 -1.7152949652309328 -0.5314344635296554 1.0523634039207423
N i 00.000000000 00.000000000 00.000000000 -1.595529994459614e-9 00.000000000 3.255826370528951
H i -0.22146827655352685 4.208933785510821 -2.648392637180265e-11 -1.4873636738957337 -0.30768499556138795 -0.6099088628658211
CA i 00.000000000 1.4370702371694345e-10 00.000000000 -15.383727541369222 00.000000000 00.000000000
HA i 2.8288820572578066e-12 8.065948354728175 0.08267403703684968 -2.3410519704683344 00.000000000 1.8766709846352048
C i 00.000000000 6.530368406028961 0.38907843727984937 3.124225030209308 -9.30924218430189e-12 -5.529322515139566
O i 0.15969030478478097 4.138790694249016 -0.5840321808865347 4.253000878567642 00.000000000 1.1673934850063272
N i+1 00.000000000 1.1288394480005122 -0.47282304537738357 1.1392578273522127 00.000000000 1.1357715440048677
H i+1 0.09710532127652376 1.1041129938766392 00.000000000 4.052753588988985 00.000000000 0.9428379824295988
CA i+1 -0.08479650445155157 0.8943369718712364 0.3318289687832487 -3.8135605271216972 -1.4001968960384008 -2.4480137361907777
HA i+1 0.04245812465893374 -0.01606534652726801 -0.040749048374243126 0.7558251604535166 -0.16553229902386413 0.1279115738973802
C i+1 0.1126978037556826 0.5172692219956964 -0.016162429435618898 0.03599112028949962 -0.7822982279113007 0.10136289176946012
