	p1		p2		p3		p4		p5		r		s

gamma1	15.0486		-1.79469	-1.79469	1.49398		1.49398		15.5		2.5
gamma2	12.1514		-1.12258	-1.12258	1.30953		1.30953		15.5		3
d	-0.403531	13.9148		-0.421725	-3.08016	0.987251	3		-16.5

