     HA   CA   H   N   C   CB
         
H i HA i -0.1614516566320832 -0.4346908231863327 0.02289697193223454 8.874781749644615 2.117769953427577 00.000000000
H i C i 0.40029408395316385 -4.480717142503855 0.5541974700169828 -7.476250943508911 0.32992470018332126 00.000000000
H i CB i 00.000000000 00.000000000 00.000000000 00.000000000 00.000000000 00.000000000
C i-1 HA i -0.024588895298906153 0.0688397031698974 0.10021372488840856 5.830440656311503 0.8298570239054354 00.000000000
C i-1 C i 0.5469325904010864 -5.277762853814892 -0.9468306968506336 -9.436126668433712 -0.9663267380058453 00.000000000
C i-1 CB i 00.000000000 00.000000000 00.000000000 00.000000000 00.000000000 00.000000000
O i HA i 0.08844035358417283 -7.723740526010798 0.1084672200848228 -4.977007849818687 -1.0055200497762544 00.000000000
O i N i -0.32946701684807667 3.647328457838632 0.9909706065758537 3.5202682884178986 0.9065359160292501 00.000000000
O i CB i 00.000000000 00.000000000 00.000000000 00.000000000 00.000000000 00.000000000
N i+1 HA i 0.05351166144940709 -5.599365381836678 0.09298507056406592 -5.596846081915703 -0.3091753214808271 00.000000000
N i+1 N i -0.03440593990900639 2.292202456612138 0.3815934582058079 1.2158710324840956 -0.14064934118829134 00.000000000
N i+1 CB i 00.000000000 00.000000000 00.000000000 00.000000000 00.000000000 00.000000000
O i-1 HA i-1 -0.1512601452406355 1.1648014422123167 -0.4272479076372114 -2.6498396613931545 -0.27621150685064494 00.000000000
O i-1 N i-1 -0.18898946547980178 -0.13361587224231197 -0.38493498803976145 -1.1466059649291205 0.12891324625348827 00.000000000
O i-1 CB i-1 -0.023449539062200236 -0.007872870896510818 0.024692456827300053 -2.3122945063162916 0.09751696272184009 00.000000000
N i HA i-1 -0.16984721754726206 2.7888602612875433 1.3007073558251434 -3.8511008074384376 0.377413025650865 00.000000000
N i N i-1 -0.11586059028005452 0.5356693234837882 0.5466682462485498 -0.7243069170770375 0.4074081667916795 00.000000000
N i CB i-1 0.01095962999583166 0.053041565774803144 -0.04541395664914084 2.1157320505796653 -0.054963590204189484 00.000000000
CG i HA i 0.13365102570173418 -0.9116481266587937 0.020614154919059748 0.331444085001563 0.07301686770158401 00.000000000
CG i N i -0.09398815807664446 0.007960942750963072 0.24546090302325188 2.0901218446155383 -0.1855060102828349 00.000000000
CG i C i -0.08687002026847274 0.04615523414111449 -0.06683876560867014 1.9659777615515017 0.16131954056247544 00.000000000
CG i C i-1 0.019393110109041888 0.10321289315473328 -0.1351168252329634 1.0799938551425898 0.08654795214813717 00.000000000
CG i N i+1 0.03165581086366538 0.010103484835136931 0.007218423821002981 -0.5270478727957437 -0.03362449073300811 00.000000000
CG i-1 CA i 0.004476959190593976 -0.002181224922115409 0.011533260308946726 -0.1572113358942833 -0.00947849149538599 00.000000000
CG i+1 CA i 0.002922370574373459 0.016561699727084742 -0.0028191559023892704 0.03436682083586097 -0.035060618932952065 00.000000000
CA i-1 CA i+1 -0.12628838140250498 0.7508646878077494 -0.057730992784859624 -0.7406516298550374 0.8150903194353573 00.000000000
