1,0.623,0.613,0.613,0.601,0.682,0.711,0.613,0.663,1.021,0.705
2,0.392,0.427,0.615,0.539,0.518,0.742,0.456,0.434,0.462,0.622
3,0.327,0.347,0.348,0.343,0.381,0.336,0.321,0.483,0.349,0.348
4,0.314,0.338,0.347,0.361,0.381,0.285,0.358,0.368,0.365,0.352
5,0.314,0.291,0.264,0.600,0.321,0.270,0.294,0.285,0.315,0.276
6,0.255,0.293,0.265,0.360,0.312,0.271,0.266,0.286,0.502,0.305
7,0.304,0.288,0.299,0.293,0.259,0.310,0.264,0.310,0.496,0.343
8,0.727,0.382,0.356,0.317,0.311,0.237,0.278,0.291,0.281,0.305
9,0.288,0.307,0.277,0.281,0.340,0.311,0.343,0.287,0.266,0.350
10,0.302,0.301,0.290,0.318,0.334,0.262,0.398,0.307,0.305,0.314
11,0.286,0.284,0.356,0.296,0.358,0.321,0.315,0.293,0.429,0.364
12,0.325,0.329,0.310,0.672,0.379,0.304,0.346,0.325,0.309,0.322
13,0.302,0.310,0.299,0.334,0.328,0.476,0.341,0.336,0.346,0.319
14,0.305,0.345,0.287,0.325,0.331,0.319,0.318,0.298,0.337,0.513
15,0.335,0.335,0.351,0.386,0.326,0.329,0.342,0.299,0.303,0.378
16,0.403,0.293,0.341,0.611,0.343,0.296,0.337,0.295,0.268,0.351
17,0.325,0.346,0.342,0.355,0.356,0.322,0.331,0.321,0.325,0.386
18,0.320,0.296,0.322,0.320,0.371,1.204,0.299,0.300,0.294,0.389
19,0.311,0.328,0.325,0.280,0.333,0.556,0.339,0.479,0.339,0.341
20,0.303,0.347,0.282,0.315,0.333,0.348,0.335,0.270,0.328,0.373
21,0.329,0.331,0.333,0.329,0.378,0.335,0.324,0.312,0.327,0.348
22,0.325,0.300,0.292,0.280,0.347,0.275,0.318,0.302,0.353,0.388
23,0.368,0.316,0.293,0.492,0.318,0.331,0.350,0.371,0.309,0.387
24,0.292,0.351,0.309,0.321,0.388,0.628,0.291,0.323,0.280,0.359
25,0.307,0.323,0.324,0.320,0.363,0.365,0.303,0.303,0.335,0.319
26,0.295,0.342,0.306,0.384,0.375,0.300,0.299,0.305,0.305,0.374
27,0.296,0.337,0.342,0.347,0.343,0.344,0.325,0.322,0.329,0.360
28,0.359,0.334,0.308,0.416,0.357,0.365,0.744,0.354,0.332,0.319
29,0.333,0.347,0.344,0.297,0.312,0.313,0.303,0.320,0.316,0.346
30,0.325,0.310,0.341,0.331,0.311,0.326,0.307,0.327,0.329,0.313
31,0.305,0.437,0.338,0.322,0.528,0.320,0.376,0.326,0.316,0.330
32,0.283,0.331,0.311,0.689,0.332,0.268,0.350,0.322,0.315,0.315
raw,0.470,0.494,0.476,0.608,0.469,0.472,0.485,0.472,0.474,0.484
