threads,samples,speedup,stdev
1,10,0.639903709997168,0.06821738451390312
2,10,0.7489227709645343,0.31317244232069524
3,10,1.0230925967851483,0.21788988179355864
4,10,0.9826049141117635,0.16722106273607523
5,10,1.202821400053234,0.10023173649093219
6,10,1.0214737793851718,0.21717686803746455
7,10,0.9625133120340787,0.3322083823079221
8,10,1.0703458076740882,0.030249339833391058
9,10,1.1814379084967321,0.05187200602425596
10,10,1.0598030018761726,0.08291749845750485
11,10,1.1397225725094577,0.10486265714315694
12,10,1.022398190045249,0.21000290035876823
13,10,0.9083417085427136,0.24956531645164196
14,10,0.9147773279352227,0.2867668096810864
15,10,1.0944538629208043,0.08037729102891293
16,10,1.055101564324072,0.04777163329717583
17,10,1.1040801368189592,0.1012366428772385
18,10,1.054363042463836,0.04009481748164331
19,10,1.076208621100262,0.09522085227034896
20,10,1.053625553742131,0.2272407979744387
21,10,0.973083548664944,0.07445872356084456
22,10,0.9726646577701249,0.13322323647423853
23,10,1.0130015691548981,0.13225994196783683
24,10,0.9728740581270183,0.18092337160557243
25,10,0.9841027874564461,0.1590463727297034
26,10,0.666814224583149,0.38636853305438934
27,10,0.9477768456375839,0.22799773492900174
28,10,0.9927504393673111,0.07729462062406404
29,10,0.8824448349931654,0.17176930748813538
30,10,0.8853840125391851,0.23835527650126445
31,10,0.912192167945095,0.14885820922705328
32,10,0.9045236188951161,0.16463992691571064
