threads,samples,speedup,stdev
1,10,0.8883410514846091,0.02344024511749441
2,10,0.9813250039119393,0.022345924739416337
3,10,1.0105545639347513,0.06255469948016401
4,10,1.1161194050283727,0.027544449565777566
5,10,1.1371831084144088,0.04023167322275224
6,10,1.1885947967313735,0.027455579823710528
7,10,1.2081190818428345,0.030384348791001062
8,10,1.2445521505171162,0.03178413931374692
9,10,1.2566375091518631,0.02931226274338407
10,10,1.2840189624216463,0.029230888644140016
11,10,1.286277758056246,0.02994464280172574
12,10,1.3064781058451185,0.029575494933309295
13,10,1.2966291062638666,0.0410908092185364
14,10,1.3004761486987662,0.03503852022995204
15,10,1.300922306084348,0.03103892701888452
16,10,1.3082496229018905,0.029544377288797777
17,10,1.3091319288329373,0.029556984902512733
18,10,1.2755513138440597,0.05123015626702501
19,10,1.3097839183870192,0.029659356926774225
20,10,1.3089742869299252,0.0295241628567515
21,10,1.3070960191108334,0.030183971679252176
22,10,1.2868868631861412,0.04518142372258007
23,10,1.3037620437372568,0.029277373986210022
24,10,1.3082601195490833,0.029591118477663866
25,10,1.3052440303226789,0.030404977759575538
26,10,1.3065304487179488,0.029472223257970307
27,10,1.2995640357379115,0.03698540823066276
28,10,1.3033556081340325,0.035682705920997655
29,10,1.3069283916577163,0.029773630596203204
30,10,1.2968766155779494,0.044053907215861124
31,10,1.3064362345664176,0.029853178742658738
32,10,1.3037411947196305,0.02932596980093057
