threads,samples,speedup,stdev
1,10,1.0125891293866882,0.0039286471127249365
2,10,1.8918545734688434,0.01624311102438234
3,10,1.936507455081466,0.15489959941988934
4,10,3.3210681813453173,0.06891420733958345
5,10,2.5097168283517552,0.2004015834866344
6,10,4.303019274834884,0.21406571427006463
7,10,3.1126028626028623,0.07725830874536889
8,10,5.0672370279836825,0.14388831159308693
9,10,3.7849427944750724,0.058729000468974536
10,10,5.782303930447382,0.0928975342198039
11,10,4.613175919771105,0.09498517689414944
12,10,6.254966887417218,0.21264831273383922
13,10,6.146933667083855,0.1611410789677763
14,10,6.208377900079734,0.22251273405712485
15,10,6.16009956776783,0.26094828557343175
16,10,6.199576649706762,0.27887417513290885
17,10,6.014903438530381,0.31750936276077163
18,10,6.041997085375778,0.35042145785523254
19,10,6.147407136392521,0.344386196043714
20,10,6.002914574754142,0.28901145638853304
21,10,6.076035857711121,0.5405832156540157
22,10,6.129231064605932,0.21586656125156342
23,10,6.063226468130365,0.18290807956024877
24,10,6.082518814899495,0.17894469010724967
25,10,6.254844334724426,0.1331540209354571
26,10,6.18133059675483,0.2905893111652446
27,10,6.242613269715872,0.24674992978976404
28,10,6.237003028230927,0.21303155896015524
29,10,6.276487820222951,0.2549185963134285
30,10,6.290339106618589,0.18870640269490963
31,10,6.103217542585122,0.4018576978197442
32,10,6.306368772470467,0.24616367481599358
