1,0.954,0.629,0.637,0.604,0.623,0.639,0.617,0.668,0.615,0.660
2,0.386,0.426,0.362,0.438,0.383,0.380,0.401,0.417,0.457,0.399
3,0.308,0.298,0.299,0.303,0.316,0.716,0.307,0.292,0.311,0.376
4,0.287,0.278,0.302,0.242,0.292,0.270,0.281,0.299,0.275,0.277
5,0.326,0.294,0.250,0.235,0.234,0.254,0.236,0.243,0.243,0.237
6,0.274,0.278,0.260,0.273,0.252,0.324,0.266,0.238,0.257,0.253
7,0.246,0.228,0.269,0.227,0.226,0.245,0.243,0.221,0.234,0.223
8,0.265,0.206,0.258,0.259,0.271,0.440,0.253,0.273,0.245,0.226
9,0.226,0.256,0.241,0.228,0.244,0.239,0.236,0.261,0.240,0.263
10,0.282,0.270,0.236,0.244,0.350,0.250,0.250,0.249,0.286,0.239
11,0.237,0.552,0.241,0.208,0.245,0.246,0.247,0.223,0.251,0.249
12,0.229,0.247,0.246,0.269,0.256,0.310,0.258,0.241,0.268,0.242
13,0.239,0.267,0.232,0.300,0.237,0.578,0.266,0.250,0.235,0.224
14,0.298,0.260,0.247,0.222,0.251,0.237,0.277,0.259,0.230,0.236
15,0.229,0.231,0.248,0.248,0.229,0.248,0.226,0.241,0.227,0.231
16,0.244,0.243,0.354,0.267,0.267,0.238,0.262,0.315,0.264,0.248
17,0.241,0.232,0.237,0.240,0.392,0.365,0.241,0.244,0.279,0.270
18,0.234,0.247,0.236,0.280,0.248,0.455,0.287,0.477,0.267,0.287
19,0.372,0.242,0.278,0.281,0.289,0.276,0.245,0.253,0.279,0.251
20,0.245,0.236,0.243,0.244,0.226,0.260,0.334,0.240,0.265,0.288
21,0.437,0.282,0.283,0.248,0.306,0.247,0.222,0.243,0.221,0.250
22,0.242,0.454,0.443,0.425,0.258,0.262,0.233,0.360,0.252,0.357
23,0.601,0.317,0.229,0.238,0.252,0.242,0.576,0.239,0.357,0.457
24,0.252,0.846,0.249,0.219,0.416,0.649,0.244,0.330,0.241,0.292
25,0.347,0.259,0.242,0.312,0.320,0.781,0.650,0.243,0.312,0.260
26,0.245,0.245,0.386,0.237,0.268,0.243,0.262,0.243,0.256,0.262
27,0.268,0.244,0.366,0.253,0.264,0.255,0.235,0.245,0.247,0.246
28,0.271,0.236,0.251,0.246,0.240,0.242,0.241,0.244,0.236,0.270
29,0.254,0.386,0.222,0.243,0.254,0.243,0.373,0.304,0.260,0.258
30,0.252,0.250,0.236,0.254,0.256,0.387,0.228,0.490,0.274,0.295
31,0.241,0.349,0.221,0.239,0.262,0.257,0.241,0.250,0.242,0.254
32,0.234,0.248,0.219,0.240,0.264,0.258,0.238,0.251,0.345,0.242
raw,0.414,0.417,0.404,0.425,0.431,0.408,0.411,0.416,0.403,0.410
