threads,samples,time,stdev
1,10,315.272,0.9852444705080298
2,10,168.745,1.395892784803572
3,10,164.85399999999998,13.181083415258396
4,10,96.126,1.9823902519713705
5,10,127.202,10.15290303312309
6,10,74.19,3.686844480341177
7,10,102.56400000000001,2.534807465842108
8,10,63.001,1.7830900145533868
9,10,84.345,1.294288736462361
10,10,55.21,0.8778635682407872
11,10,69.202,1.4159551154217067
12,10,51.038,1.7311511905216264
13,10,51.935,1.3562222859431583
14,10,51.421,1.8391691964942585
15,10,51.824,2.1920827234998836
16,10,51.494,2.313315081580256
17,10,53.075,2.7990166924197593
18,10,52.837,3.062011140120529
19,10,51.931,2.906794530826773
20,10,53.181,2.55748769954683
21,10,52.541,4.672996778180881
22,10,52.085,1.8304780796283793
23,10,52.652,1.583721355963016
24,10,52.485,1.5393595349293097
25,10,51.039,1.0801692254251438
26,10,51.646,2.425014089306151
27,10,51.138999999999996,2.017933211096057
28,10,51.185,1.7443129815998555
29,10,50.863,2.062479898891947
30,10,50.751,1.5180210070278266
31,10,52.307,3.4419795660830608
32,10,50.622,1.9725550266933827
raw,10,319.241,0.7340367838194533
