1,347.45,332.11,337.56,326.52,330.61,339.93,329.78,330.82,328.24,337.05
2,273.78,250.79,251.25,243.97,244.89,277.30,256.77,248.29,277.33,268.31
3,212.46,217.31,217.40,205.98,200.76,207.66,212.44,207.73,191.80,179.13
4,173.74,181.70,164.52,156.10,154.40,151.92,150.61,157.76,156.35,152.29
5,143.39,146.57,159.92,143.36,141.56,144.90,141.54,185.01,153.02,147.43
6,128.58,127.09,127.59,129.72,126.89,128.59,127.95,130.82,130.64,127.64
7,121.18,122.07,125.11,130.74,122.87,127.02,122.69,121.23,123.39,120.83
8,113.47,113.38,114.23,115.15,115.18,114.45,113.07,113.72,115.37,113.34
9,110.31,111.24,110.00,113.97,112.60,111.28,111.24,111.81,112.03,110.25
10,108.02,108.52,106.86,105.14,106.07,105.67,108.20,105.79,106.90,107.83
11,103.90,103.65,104.96,106.42,104.92,103.60,110.20,112.81,107.98,105.91
12,112.89,100.77,101.05,103.66,100.47,100.17,99.41,100.31,101.27,105.16
13,112.00,137.26,106.07,110.64,107.87,109.02,120.68,110.90,116.71,111.06
14,108.90,115.69,115.74,115.29,119.13,109.13,119.32,109.87,115.75,109.54
15,112.77,115.77,107.80,109.51,106.99,115.93,115.31,120.22,111.52,110.02
16,108.35,113.84,123.11,111.21,109.05,108.11,109.37,107.73,112.24,112.59
17,113.33,120.63,119.33,113.97,109.78,114.70,106.28,107.79,115.50,118.84
18,118.69,110.27,111.32,117.94,123.89,114.82,110.40,123.12,117.63,111.27
19,113.29,120.83,111.82,108.66,112.99,109.40,111.19,112.84,110.59,107.40
20,106.35,116.80,111.45,109.04,118.27,107.43,114.86,111.00,106.32,113.96
21,113.02,108.68,114.86,108.98,114.19,109.73,111.02,111.00,110.79,112.67
22,116.78,123.07,115.10,108.26,108.68,111.85,116.25,108.84,112.98,108.18
23,109.33,108.73,110.66,111.21,109.23,108.50,119.18,109.82,109.23,109.94
24,115.32,123.08,111.01,108.89,108.90,108.30,110.77,108.85,112.63,109.67
25,109.16,109.86,108.40,115.00,108.13,120.15,109.01,110.20,111.35,109.80
26,112.67,121.25,106.16,111.21,108.38,119.06,112.64,113.69,114.05,116.95
27,109.01,115.61,109.07,114.41,107.82,109.92,125.24,108.89,108.74,110.75
28,110.84,115.06,111.88,111.13,126.33,113.93,116.55,124.55,121.25,110.94
29,110.04,114.51,126.54,117.60,116.29,110.23,106.14,117.76,112.96,117.95
30,116.31,114.46,115.72,121.60,109.37,111.94,108.21,111.89,114.82,107.15
31,123.18,110.80,123.40,107.62,115.97,106.16,108.89,117.39,114.85,121.63
32,109.97,106.83,108.68,115.76,109.76,109.74,111.52,124.33,109.12,114.60
raw,466.58,464.85,462.92,464.85,464.23,464.30,466.16,469.06,463.96,464.40
