1,317.59,314.72,314.52,314.36,315.54,316.02,314.42,314.78,315.25,315.52
2,170.67,168.20,171.33,169.49,166.94,167.96,169.01,168.50,167.64,167.71
3,155.12,188.26,155.60,174.20,165.87,156.72,157.36,183.22,164.28,147.91
4,96.15,95.47,94.67,93.68,96.72,96.16,93.44,99.14,96.54,99.29
5,103.30,125.01,125.38,135.86,128.70,135.26,137.65,134.18,120.30,126.38
6,70.97,75.02,77.44,74.62,79.59,76.27,77.96,69.62,70.51,69.90
7,104.62,103.01,101.78,99.67,105.08,100.85,103.95,105.37,103.66,97.65
8,62.63,63.34,62.48,61.08,61.83,60.04,64.02,66.16,64.60,63.83
9,84.83,83.05,83.16,83.35,85.41,82.80,86.72,83.97,84.64,85.52
10,55.24,54.87,55.63,55.16,54.84,54.26,54.18,56.95,56.31,54.66
11,68.07,67.13,71.14,69.62,70.78,68.24,67.60,70.51,68.87,70.06
12,52.64,51.78,50.23,47.83,51.55,50.82,52.48,53.03,51.50,48.52
13,52.18,53.86,52.91,50.34,51.02,50.11,52.81,51.98,50.60,53.54
14,54.33,50.89,50.77,50.58,51.24,48.23,52.76,50.66,54.13,50.62
15,51.97,52.68,50.49,53.83,54.28,49.88,54.01,51.58,47.16,52.36
16,49.55,52.56,53.92,50.92,50.20,48.21,50.91,49.69,55.72,53.26
17,54.92,54.25,53.06,51.11,59.56,50.31,53.92,50.68,52.00,50.94
18,53.01,52.32,60.44,50.84,54.25,51.35,50.91,49.12,53.54,52.59
19,54.60,51.28,54.71,48.63,49.99,50.89,50.93,48.92,57.83,51.53
20,55.49,52.95,56.51,50.61,49.80,54.17,52.29,55.43,55.10,49.46
21,48.19,49.19,51.61,53.37,52.96,60.30,47.16,49.56,60.70,52.37
22,49.57,52.26,54.61,48.65,53.47,53.72,51.54,52.01,52.94,52.08
23,54.30,55.81,51.53,52.53,52.54,50.11,52.53,51.32,53.24,52.61
24,51.02,53.35,54.24,51.29,52.36,53.25,51.23,53.81,54.36,49.94
25,51.70,50.62,53.76,50.45,51.17,50.54,50.23,51.28,50.07,50.57
26,47.11,52.84,53.34,49.72,48.62,52.88,52.88,51.19,54.78,53.10
27,53.47,48.24,54.18,50.48,52.65,50.83,48.12,50.32,52.11,50.99
28,51.34,49.66,53.65,50.15,52.33,53.09,50.39,48.31,52.86,50.07
29,53.09,54.54,50.17,47.83,48.71,49.90,52.32,49.72,51.86,50.49
30,51.43,51.98,49.26,52.05,51.21,49.31,52.03,51.78,50.85,47.61
31,52.80,48.04,51.98,52.44,52.80,51.09,47.28,51.69,59.38,55.57
32,52.29,49.52,50.12,50.26,47.46,50.11,52.26,49.18,54.57,50.45
raw,318.74,319.25,320.31,319.62,319.36,320.19,318.92,319.61,318.13,318.28
