threads,samples,speedup,stdev
1,10,0.6227806199217575,0.09799095138449408
2,10,1.0222277105458137,0.0772368125226314
3,10,1.1738513896766876,0.4329917280026675
4,10,1.4766321798073492,0.09526894677085246
5,10,1.6218652037617556,0.1972476297012141
6,10,1.5472897196261681,0.138486193591077
7,10,1.7523285351397122,0.11575811407910425
8,10,1.5352373887240356,0.36236335473545755
9,10,1.700493015612161,0.09681130666754065
10,10,1.5583584337349397,0.20447550883782387
11,10,1.533530937384216,0.5692527966241292
12,10,1.6130163678877631,0.1456444764996345
13,10,1.4635785007072135,0.5501830040210097
14,10,1.6444179578863727,0.15406362630385018
15,10,1.7553011026293468,0.0790292041861967
16,10,1.5318282753515915,0.21053507314731418
17,10,1.5100328347318497,0.31765207581613475
18,10,1.3714380384360503,0.4049985098359602
19,10,1.4963846710050615,0.20564985796408208
20,10,1.6036419992251065,0.2010661188284594
21,10,1.5111354508944872,0.3513548806807264
22,10,1.2595861229458307,0.34349004966797675
23,10,1.1798745724059292,0.4860290766906371
24,10,1.1072766185125735,0.6233419800233293
25,10,1.1108427267847558,0.5573263764094891
26,10,1.5636569701548924,0.2611436411286321
27,10,1.5779641631719405,0.22943900347619334
28,10,1.6709729511505853,0.09354384222148629
29,10,1.4797997854844476,0.30094347235284835
30,10,1.4164955509924708,0.4031620479357768
31,10,1.6193270735524257,0.22302449688457862
32,10,1.6301693580149663,0.22372894494315262
