platform,name,speedup
Intel,PFold 0/S,1.06
Intel,PFold 2/S,1.00
Intel,PFold 0/L,2.66
Intel,PFold 2/L,1.00
Intel,NGT 0/S,1.00
Intel,NGT 2/S,1.00
Intel,NGT 0/L,1.17
Intel,NGT 2/L,1.17
AMD,PFold 0/S,1.17
AMD,PFold 2/S,0.99
AMD,PFold 0/L,2.24
AMD,PFold 2/L,1.21
AMD,NGT 0/S,1.04
AMD,NGT 2/S,1.00
AMD,NGT 0/L,1.14
AMD,NGT 2/L,1.13
