name,speedup
NAS-CG S,1.740740741
NAS-CG W,2.912307692
NAS-CG A,4.818340611
NAS-CG B,4.25010472
NAS-CG C,4.21364603
Netlib 60,1.520980977
Netlib 100,1.578542762
Netlib 120,1.685981452
Netlib 140,1.70071499
Netlib 160,1.702091172
